ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,numSeats,numCands
40024_00000_351655_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_347160_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_254924_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_253678_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_194593_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_194176_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_108886_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_105107_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,Write-in,"Olson, Donald C. ""Donny""",1,2
40024_00000_068048_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_029814_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_005748_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_926444_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40024_00000_919479_,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-024 Kotzebue,40-024 Kotzebue,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
