Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
LE8677,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,2,9
LE8678,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,2,9
LE8679,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,2,9
LE8680,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE8681,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,2,9
LE8682,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE8683,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,2,9
LE8684,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8685,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8686,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE8687,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,ETHAN M. ERICKSON,MICHELLE MILES,2,9
LE8688,ETHAN M. ERICKSON,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,2,9
LE8689,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,skipped,skipped,2,9
LE8690,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8691,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8692,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8694,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,2,9
LE8695,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,PAUL HANCOCK,2,9
LE8696,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,2,9
LE8697,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8698,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8699,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE8700,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE8701,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8702,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,2,9
LE8703,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,2,9
LE8704,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE8706,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,2,9
LE8707,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8708,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE8709,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,2,9
LE8710,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE8711,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8712,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8714,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8715,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8716,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,PAUL HANCOCK,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,2,9
LE8717,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8718,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE8719,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8720,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,2,9
LE8721,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8723,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8724,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE8725,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE8726,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE8727,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE8728,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8730,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8732,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8733,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE8734,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE8735,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8736,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8737,ETHAN M. ERICKSON,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,2,9
LE8738,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE8739,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8741,MONTANE C HAMILTON,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE8742,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE8743,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8744,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE8745,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,2,9
LE8746,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,2,9
LE8747,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,LORI MCINTOSH LE,CAMI PURTSCHERT,2,9
LE8748,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,2,9
LE8749,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,2,9
LE8750,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE8751,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8752,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,2,9
LE8753,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,2,9
LE8754,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,2,9
LE8755,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8756,MONTANE C HAMILTON,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8757,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,2,9
LE8758,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8759,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,2,9
LE8760,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,2,9
LE8761,MICHELLE MILES,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8762,ETHAN M. ERICKSON,AARON BULLEN,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,2,9
LE8763,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,2,9
LE8764,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8766,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,2,9
LE8767,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8768,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,skipped,skipped,skipped,2,9
LE8770,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE8772,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8773,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE8774,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,skipped,2,9
LE8775,CHRIS CONDIE,LORI MCINTOSH LE,ETHAN M. ERICKSON,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,2,9
LE8776,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8777,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,2,9
LE8778,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE8779,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,2,9
LE8780,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE8781,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,2,9
LE8782,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,2,9
LE8783,ETHAN M. ERICKSON,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,2,9
LE8784,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,CHRIS CONDIE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,2,9
LE8786,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE8787,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8788,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8789,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE8790,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8791,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,2,9
LE8792,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8793,PAUL HANCOCK,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE8794,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,2,9
LE8796,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE8798,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,2,9
LE8800,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8801,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8802,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,2,9
LE8803,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE8804,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,skipped,skipped,2,9
LE8805,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8806,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,MICHELLE MILES,skipped,2,9
LE8807,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,2,9
LE8811,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8812,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE8813,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8814,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,NICOLE KUNZE,PAUL HANCOCK,2,9
LE8815,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,CHRIS CONDIE,skipped,skipped,skipped,2,9
LE8816,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,2,9
LE8817,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,CHRIS CONDIE,2,9
LE8818,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,CHRIS CONDIE,2,9
LE8819,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,2,9
LE8820,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8821,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE8822,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8823,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8824,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,2,9
LE8825,ETHAN M. ERICKSON,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE8826,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,2,9
LE8827,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,2,9
LE8828,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,2,9
LE8829,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
