voter_id,rank1,rank2,rank3,rank4,rank5,rank6,num_positions
1183,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1184,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1185,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1186,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1187,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1188,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1189,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1190,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1191,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1192,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1193,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1194,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1195,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1196,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1197,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1198,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1199,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1200,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1201,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1202,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1203,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1204,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
1205,David CROLL Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,3
