file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
american/Alaska/Alaska_11082022_HouseDistrict18.csv,none,"Nelson, David","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff"
american/Alaska/Alaska_11082022_HouseDistrict18.csv,"Groh, Cliff","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Franks, Lyn D.","Franks, Lyn D.","Franks, Lyn D.","Franks, Lyn D.","Franks, Lyn D."
american/Alaska/Alaska_11082022_HouseDistrict18.csv,"Franks, Lyn D.","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff"
american/Alaska/Alaska_11082022_HouseDistrict18.csv,"Nelson, David","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff"
american/Alaska/Alaska_11082022_HouseDistrict26.csv,none,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L."
american/Alaska/Alaska_11082022_HouseDistrict26.csv,"Tilton, Cathy L.","Stokes, Daniel L.","Stokes, Daniel L.",unknown,"Stokes, Daniel L.","Stokes, Daniel L.","Stokes, Daniel L.","Stokes, Daniel L.","Stokes, Daniel L.","Stokes, Daniel L.","Stokes, Daniel L."
american/Alaska/Alaska_11082022_HouseDistrict26.csv,"Stokes, Daniel L.","Tilton, Cathy L.","Tilton, Cathy L.",unknown,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L."
american/Alaska/Alaska_11082022_HouseDistrict32.csv,none,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B."
american/Alaska/Alaska_11082022_HouseDistrict32.csv,"Stapp, Will B.","Givens, Timothy W.","Givens, Timothy W.","Givens, Timothy W.","Givens, Timothy W.","Givens, Timothy W.","Lawrence, Van","Lawrence, Van","Lawrence, Van","Lawrence, Van","Lawrence, Van"
american/Alaska/Alaska_11082022_HouseDistrict32.csv,"Lawrence, Van","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B."
american/Alaska/Alaska_11082022_HouseDistrict32.csv,"Givens, Timothy W.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B."
american/Alaska/Alaska_11052024_StateHouseD40.csv,none,"Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq"""
american/Alaska/Alaska_11052024_StateHouseD40.csv,"Burke, Robyn ""Niayuq""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik""","Chase, Saima ""Ikrik"""
american/Alaska/Alaska_11052024_StateHouseD40.csv,"Baker, Thomas C. ""Ikaaq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq"""
american/Alaska/Alaska_11052024_StateHouseD40.csv,"Chase, Saima ""Ikrik""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq"""
